cell_id,dataset,n_train,method,seed,tuning_budget,status,metric,value
adult__n2000__tvae__seed0__budget20,adult,2000,tvae,0,20,ok,metric_tstr_auroc_mean,0.8877197428516402
adult__n2000__tvae__seed1__budget20,adult,2000,tvae,1,20,ok,metric_tstr_auroc_mean,0.8842169261536769
adult__n2000__tvae__seed2__budget20,adult,2000,tvae,2,20,ok,metric_tstr_auroc_mean,0.8818016463410441
adult__n2000__tvae__seed3__budget20,adult,2000,tvae,3,20,ok,metric_tstr_auroc_mean,0.8792210273897223
adult__n2000__tvae__seed4__budget20,adult,2000,tvae,4,20,ok,metric_tstr_auroc_mean,0.8836714058727638
adult__n2000__ucsmote__seed0__budget20,adult,2000,ucsmote,0,20,ok,metric_tstr_auroc_mean,0.8864980130070229
adult__n2000__ucsmote__seed1__budget20,adult,2000,ucsmote,1,20,ok,metric_tstr_auroc_mean,0.8882679070111362
adult__n2000__ucsmote__seed2__budget20,adult,2000,ucsmote,2,20,ok,metric_tstr_auroc_mean,0.8786033270740045
adult__n2000__ucsmote__seed3__budget20,adult,2000,ucsmote,3,20,ok,metric_tstr_auroc_mean,0.8879920193557705
adult__n2000__ucsmote__seed4__budget20,adult,2000,ucsmote,4,20,ok,metric_tstr_auroc_mean,0.8826841859089439
adult__n200__copula__seed0__budget0,adult,200,copula,0,0,ok,metric_tstr_auroc_mean,0.6656298148683134
adult__n200__copula__seed1__budget0,adult,200,copula,1,0,ok,metric_tstr_auroc_mean,0.603077281215823
adult__n200__copula__seed2__budget0,adult,200,copula,2,0,ok,metric_tstr_auroc_mean,0.6435670779939883
adult__n200__copula__seed3__budget0,adult,200,copula,3,0,ok,metric_tstr_auroc_mean,0.6849938395479526
adult__n200__copula__seed4__budget0,adult,200,copula,4,0,ok,metric_tstr_auroc_mean,0.7430904275259143
adult__n200__ctgan__seed0__budget0,adult,200,ctgan,0,0,ok,metric_tstr_auroc_mean,0.5288996564247539
adult__n200__ctgan__seed0__budget20,adult,200,ctgan,0,20,ok,metric_tstr_auroc_mean,0.6542058519565561
adult__n200__ctgan__seed1__budget0,adult,200,ctgan,1,0,ok,metric_tstr_auroc_mean,0.44225938985300894
adult__n200__ctgan__seed1__budget20,adult,200,ctgan,1,20,ok,metric_tstr_auroc_mean,0.4651627511469704
adult__n200__ctgan__seed2__budget0,adult,200,ctgan,2,0,ok,metric_tstr_auroc_mean,0.6336880214674343
adult__n200__ctgan__seed2__budget20,adult,200,ctgan,2,20,ok,metric_tstr_auroc_mean,0.5438078214096559
adult__n200__ctgan__seed3__budget0,adult,200,ctgan,3,0,ok,metric_tstr_auroc_mean,0.4814415629750384
adult__n200__ctgan__seed3__budget20,adult,200,ctgan,3,20,ok,metric_tstr_auroc_mean,0.5294515822001197
adult__n200__ctgan__seed4__budget0,adult,200,ctgan,4,0,ok,metric_tstr_auroc_mean,0.5427355674322307
adult__n200__ctgan__seed4__budget20,adult,200,ctgan,4,20,ok,metric_tstr_auroc_mean,0.4874731098202678
adult__n200__marginals__seed0__budget0,adult,200,marginals,0,0,ok,metric_tstr_auroc_mean,0.43705834330698917
adult__n200__marginals__seed1__budget0,adult,200,marginals,1,0,ok,metric_tstr_auroc_mean,0.614472247442961
adult__n200__marginals__seed2__budget0,adult,200,marginals,2,0,ok,metric_tstr_auroc_mean,0.31252482666474074
adult__n200__marginals__seed3__budget0,adult,200,marginals,3,0,ok,metric_tstr_auroc_mean,0.47092331118493913
adult__n200__marginals__seed4__budget0,adult,200,marginals,4,0,ok,metric_tstr_auroc_mean,0.6051358308743113
adult__n200__real_subsample__seed0__budget0,adult,200,real_subsample,0,0,ok,metric_tstr_auroc_mean,0.8571512616674578
adult__n200__real_subsample__seed1__budget0,adult,200,real_subsample,1,0,ok,metric_tstr_auroc_mean,0.8691152851433799
adult__n200__real_subsample__seed2__budget0,adult,200,real_subsample,2,0,ok,metric_tstr_auroc_mean,0.8517124809984661
adult__n200__real_subsample__seed3__budget0,adult,200,real_subsample,3,0,ok,metric_tstr_auroc_mean,0.8350615056437135
adult__n200__real_subsample__seed4__budget0,adult,200,real_subsample,4,0,ok,metric_tstr_auroc_mean,0.8603087405336249
adult__n200__smote__seed0__budget0,adult,200,smote,0,0,ok,metric_tstr_auroc_mean,0.8284043913318614
adult__n200__smote__seed0__budget20,adult,200,smote,0,20,ok,metric_tstr_auroc_mean,0.8369945033119416
adult__n200__smote__seed1__budget0,adult,200,smote,1,0,ok,metric_tstr_auroc_mean,0.8579442532827084
adult__n200__smote__seed1__budget20,adult,200,smote,1,20,ok,metric_tstr_auroc_mean,0.8392667342467827
adult__n200__smote__seed2__budget0,adult,200,smote,2,0,ok,metric_tstr_auroc_mean,0.8269717745541089
adult__n200__smote__seed2__budget20,adult,200,smote,2,20,ok,metric_tstr_auroc_mean,0.8000860012862576
adult__n200__smote__seed3__budget0,adult,200,smote,3,0,ok,metric_tstr_auroc_mean,0.8375726744186047
adult__n200__smote__seed3__budget20,adult,200,smote,3,20,ok,metric_tstr_auroc_mean,0.8034204265629405
adult__n200__smote__seed4__budget0,adult,200,smote,4,0,ok,metric_tstr_auroc_mean,0.8515216488516538
adult__n200__smote__seed4__budget20,adult,200,smote,4,20,ok,metric_tstr_auroc_mean,0.8292482614886197
adult__n200__tabddpm__seed0__budget0,adult,200,tabddpm,0,0,ok,metric_tstr_auroc_mean,0.8330057503284428
adult__n200__tabddpm__seed0__budget20,adult,200,tabddpm,0,20,ok,metric_tstr_auroc_mean,0.8428570568773516
adult__n200__tabddpm__seed1__budget0,adult,200,tabddpm,1,0,ok,metric_tstr_auroc_mean,0.8340444506923093
adult__n200__tabddpm__seed1__budget20,adult,200,tabddpm,1,20,ok,metric_tstr_auroc_mean,0.8493551730601238
adult__n200__tabddpm__seed2__budget0,adult,200,tabddpm,2,0,ok,metric_tstr_auroc_mean,0.7776165370091414
adult__n200__tabddpm__seed2__budget20,adult,200,tabddpm,2,20,ok,metric_tstr_auroc_mean,0.8199539965126595
adult__n200__tabddpm__seed3__budget0,adult,200,tabddpm,3,0,ok,metric_tstr_auroc_mean,0.813365472579325
adult__n200__tabddpm__seed3__budget20,adult,200,tabddpm,3,20,ok,metric_tstr_auroc_mean,0.8350844622479933
adult__n200__tabddpm__seed4__budget0,adult,200,tabddpm,4,0,ok,metric_tstr_auroc_mean,0.8106139043079313
adult__n200__tabddpm__seed4__budget20,adult,200,tabddpm,4,20,ok,metric_tstr_auroc_mean,0.8225446750995645
adult__n200__tvae__seed0__budget0,adult,200,tvae,0,0,ok,metric_tstr_auroc_mean,0.8130709917940887
adult__n200__tvae__seed0__budget20,adult,200,tvae,0,20,ok,metric_tstr_auroc_mean,0.8418999298404902
adult__n200__tvae__seed1__budget0,adult,200,tvae,1,0,ok,metric_tstr_auroc_mean,0.7040454781508153
adult__n200__tvae__seed1__budget20,adult,200,tvae,1,20,ok,metric_tstr_auroc_mean,0.7843646824250428
adult__n200__tvae__seed2__budget0,adult,200,tvae,2,0,ok,metric_tstr_auroc_mean,0.6752439676578418
adult__n200__tvae__seed2__budget20,adult,200,tvae,2,20,ok,metric_tstr_auroc_mean,0.8057968864997971
adult__n200__tvae__seed3__budget0,adult,200,tvae,3,0,ok,metric_tstr_auroc_mean,0.757586018482216
adult__n200__tvae__seed3__budget20,adult,200,tvae,3,20,ok,metric_tstr_auroc_mean,0.8324216251212314
adult__n200__tvae__seed4__budget0,adult,200,tvae,4,0,ok,metric_tstr_auroc_mean,0.7021647561957037
adult__n200__tvae__seed4__budget20,adult,200,tvae,4,20,ok,metric_tstr_auroc_mean,0.8286837611687748
adult__n200__ucsmote__seed0__budget0,adult,200,ucsmote,0,0,ok,metric_tstr_auroc_mean,0.8181828343066245
adult__n200__ucsmote__seed0__budget20,adult,200,ucsmote,0,20,ok,metric_tstr_auroc_mean,0.8412594233851275
adult__n200__ucsmote__seed1__budget0,adult,200,ucsmote,1,0,ok,metric_tstr_auroc_mean,0.8451839709594657
adult__n200__ucsmote__seed1__budget20,adult,200,ucsmote,1,20,ok,metric_tstr_auroc_mean,0.8471056407901886
adult__n200__ucsmote__seed2__budget0,adult,200,ucsmote,2,0,ok,metric_tstr_auroc_mean,0.8476196494775868
adult__n200__ucsmote__seed2__budget20,adult,200,ucsmote,2,20,ok,metric_tstr_auroc_mean,0.8399834617871416
adult__n200__ucsmote__seed3__budget0,adult,200,ucsmote,3,0,ok,metric_tstr_auroc_mean,0.8291899027052683
adult__n200__ucsmote__seed3__budget20,adult,200,ucsmote,3,20,ok,metric_tstr_auroc_mean,0.8192353129320485
adult__n200__ucsmote__seed4__budget0,adult,200,ucsmote,4,0,ok,metric_tstr_auroc_mean,0.8577231992392509
adult__n200__ucsmote__seed4__budget20,adult,200,ucsmote,4,20,ok,metric_tstr_auroc_mean,0.85970140078276
adult__n5000__copula__seed0__budget0,adult,5000,copula,0,0,ok,metric_tstr_auroc_mean,0.7971744461181843
adult__n5000__copula__seed1__budget0,adult,5000,copula,1,0,ok,metric_tstr_auroc_mean,0.7492347153724989
adult__n5000__copula__seed2__budget0,adult,5000,copula,2,0,ok,metric_tstr_auroc_mean,0.7554540850718446
adult__n5000__copula__seed3__budget0,adult,5000,copula,3,0,ok,metric_tstr_auroc_mean,0.7345596630967858
adult__n5000__copula__seed4__budget0,adult,5000,copula,4,0,ok,metric_tstr_auroc_mean,0.761161488103836
adult__n5000__ctgan__seed0__budget0,adult,5000,ctgan,0,0,ok,metric_tstr_auroc_mean,0.8515047968125572
adult__n5000__ctgan__seed0__budget20,adult,5000,ctgan,0,20,ok,metric_tstr_auroc_mean,0.8520920602821512
adult__n5000__ctgan__seed1__budget0,adult,5000,ctgan,1,0,ok,metric_tstr_auroc_mean,0.845013494528246
adult__n5000__ctgan__seed1__budget20,adult,5000,ctgan,1,20,ok,metric_tstr_auroc_mean,0.8518971870851475
adult__n5000__ctgan__seed2__budget0,adult,5000,ctgan,2,0,ok,metric_tstr_auroc_mean,0.85453775544596
adult__n5000__ctgan__seed2__budget20,adult,5000,ctgan,2,20,ok,metric_tstr_auroc_mean,0.8503297754895689
adult__n5000__ctgan__seed3__budget0,adult,5000,ctgan,3,0,ok,metric_tstr_auroc_mean,0.8392123520287792
adult__n5000__ctgan__seed3__budget20,adult,5000,ctgan,3,20,ok,metric_tstr_auroc_mean,0.8567172786708213
adult__n5000__ctgan__seed4__budget0,adult,5000,ctgan,4,0,ok,metric_tstr_auroc_mean,0.8207054813836555
